latitude,longitude
40.71239185,-73.89893781
40.84141327,-74.00700456
40.57192448,-73.98860006
40.83680381,-73.96926076
40.79613253,-74.0655204
40.76568496,-74.01560411
40.77963317,-73.84395332
40.62945596,-74.16002742
40.64588453,-74.12586254
40.75742227,-74.18215192
40.75868209,-74.12202335
40.64603653,-74.08431778
40.76572427,-73.99225187
40.59592169,-73.98133457
40.70910859,-74.0128526
40.61854044,-74.11123314
40.63612204,-74.07375718
40.6744112,-74.11413158
40.76047906,-74.04561495
40.7835044,-74.0146926
40.6792627,-73.99869692
40.67995864,-73.88777055
40.78745899,-74.15639602
40.80510029,-74.02306879
40.78547883,-74.08326239
40.63327756,-73.90126285
40.83575656,-73.93526048
40.81672733,-74.03901399
40.61682382,-73.91049637
40.79225191,-74.04801053
40.8286041,-74.04682063
40.66973387,-74.09443659
40.79477583,-73.95838148
40.7844489,-74.13044927
40.71733878,-74.10753563
40.72728633,-74.0569622
40.71164463,-74.00323725
40.7211591,-73.89405994
40.7442436,-74.14907941
40.71630818,-73.96239176
40.66993293,-74.01601474
40.58390796,-73.95211459
40.78595001,-74.17249961
40.63319364,-73.85850192
40.74388832,-73.9330714
40.79556123,-73.98149099
40.72015814,-74.01028206
40.70684095,-73.90982646
40.61148061,-73.87409881
40.69621963,-73.82406262
40.81211884,-73.86637899
40.70144783,-74.05933364
40.6678918,-74.13240323
40.7852404,-74.05915454
40.59971416,-73.90839568
40.73082116,-74.14305147
40.78149215,-73.92130589
40.6435434,-73.92635313
40.70105315,-74.00454755
40.59919588,-73.94614027
40.66422632,-74.18294874
40.66960376,-73.88048692
40.6959655,-73.91254219
40.71785952,-74.05076085
40.66104818,-74.168511
40.69331953,-74.18035298
40.80898145,-74.14422033
40.78144748,-74.04428254
40.68962942,-74.12854207
40.84560222,-74.03300125
40.73803307,-74.01516189
40.83257843,-73.93893128
40.77799701,-74.06418709
40.6969896,-74.02676695
40.77016377,-73.90061032
40.82951674,-73.9823089
40.61651713,-74.03892265
40.6986213,-73.93160946
40.7248167,-74.13383534
40.7934637,-74.05540433
40.67796362,-73.94074868
40.62369703,-74.03619621
40.77434747,-74.07485978
40.7229779,-73.82214022
40.6643368,-73.98392037
40.76717638,-74.10319071
40.69154549,-73.93309317
40.67773403,-73.90425397
40.71286204,-73.96900571
40.66797875,-73.96975747
40.67784372,-73.96566108
40.68351119,-74.04004511
40.84683084,-73.99223242
40.70984326,-74.09788239
40.74736589,-73.98140484
40.76067548,-74.02580139
40.638841,-73.86409635
40.80797272,-74.03623221
40.82475572,-73.94417993
40.77360957,-73.89012383
40.71973116,-74.15870419
40.59624176,-73.98110364
40.78834871,-73.91464764
40.65060961,-73.85637695
40.82725981,-74.0438431
40.72726181,-73.9502978
40.75049995,-73.91525019
40.77436133,-74.06932132
40.72745421,-74.16744285
40.57425593,-73.97304145
40.67971615,-73.8672917
40.62845276,-74.00447273
40.70369211,-73.84155328
40.79636228,-74.05729752
40.65277764,-74.07543747
40.73266392,-73.89799035
40.74292801,-73.8941488
40.85805899,-74.0277793
40.65001287,-74.12024053
40.58213973,-74.06830317
40.68054022,-74.15754995
40.60761515,-73.9470908
40.58370002,-73.98131038
40.76857473,-73.83185475
40.62225644,-74.11901292
40.77871995,-73.8852911
40.61760555,-74.05584772
40.6601307,-74.17144836
40.80056481,-73.87527893
40.81136555,-73.91982118
40.69438235,-73.87049572
40.59253582,-74.04491227
40.63095651,-74.01987376
40.76735113,-73.95962937
40.74574842,-73.8242918
40.61839872,-73.89121983
40.85527704,-73.9705333
40.83408449,-74.03718534
40.71703738,-73.81851102
40.72392686,-73.95389563
40.63831477,-74.03697833
40.61570907,-74.03182643
40.71253507,-73.84210974
40.78501902,-73.92411582
40.66662113,-73.96491674
40.69408153,-73.9260378
40.65674733,-73.85545976
40.77908943,-73.83804213
40.78280333,-73.87184612
40.70922669,-74.18003919
40.74310573,-73.9464335
40.64111661,-74.15169744
40.75040812,-73.85273279
40.68574832,-74.14218831
40.69512272,-74.1064634
40.82816814,-73.96085395
40.69446756,-74.10939541
40.77927707,-73.89923778
40.61139017,-74.01459461
40.63558205,-73.86375333
40.68911697,-74.1764703
40.74771374,-74.12288753
40.71812671,-73.86721108
40.59699494,-74.09735617
40.74865857,-74.0013714
40.68459767,-73.82342217
40.80107577,-74.00190053
40.7444953,-73.9875472
40.61595646,-74.06518232
40.67434115,-73.90217488
40.62747506,-74.04233797
40.7787835,-73.94558333
40.83948896,-74.08605613
40.6629351,-74.02699207
40.79627596,-73.87810112
40.69998083,-74.11015071
40.61706977,-74.03804425
40.70385017,-74.02716182
40.72727144,-73.99061089
40.60589157,-73.91410575
40.76523921,-74.08246351
40.63648999,-73.9510554
40.71771057,-73.82687408
